WHO situation reports,Date,Total confirmed cases,Total deaths,New confirmed cases by date,New deaths by date,Fatality rates (%),Note
1,2020-01-20,1,0,1,0,0,
2,2020-01-21,1,0,0,0,0,
,2020-01-22,1,0,0,0,0,
3,2020-01-23,1,0,0,0,0,
4,2020-01-24,1,0,0,0,0,
5,2020-01-25,3,0,2,0,0,
6,2020-01-26,3,0,0,0,0,
7,2020-01-27,4,0,1,0,0,
8,2020-01-28,6,0,2,0,0,
9,2020-01-29,7,0,1,0,0,
10,2020-01-30,11,0,4,0,0,
11,2020-01-31,14,0,3,0,0,
12,2020-02-01,17,0,3,0,0,
13,2020-02-02,20,0,3,0,0,
14,2020-02-03,20,0,0,0,0,
15,2020-02-04,20,0,0,0,0,
16,2020-02-05,23,0,3,0,0,
17,2020-02-06,25,0,2,0,0,
18,2020-02-07,25,0,0,0,0,
19,2020-02-08,25,0,0,0,0,
20,2020-02-09,26,0,1,0,0,
21,2020-02-10,26,0,0,0,0,
22,2020-02-11,26,0,0,0,0,
23,2020-02-12,28,0,2,0,0,
24,2020-02-13,29,0,1,0,0,
25,2020-02-14,33,1,4,1,3.03030303030303,
26,2020-02-15,41,1,8,0,2.4390243902439,
27,2020-02-16,53,1,12,0,1.88679245283019,
28,2020-02-17,59,1,6,0,1.69491525423729,
29,2020-02-18,65,1,6,0,1.53846153846154,
30,2020-02-19,73,1,8,0,1.36986301369863,
31,2020-02-20,85,1,12,0,1.17647058823529,
32,2020-02-21,93,1,8,0,1.0752688172043,
33,2020-02-22,105,1,12,0,0.952380952380952,
34,2020-02-23,132,1,27,0,0.757575757575758,
35,2020-02-24,144,1,12,0,0.694444444444444,
36,2020-02-25,157,1,13,0,0.636942675159236,
37,2020-02-26,164,1,7,0,0.609756097560976,
38,2020-02-27,186,3,22,2,1.61290322580645,
39,2020-02-28,210,4,24,1,1.90476190476191,
40,2020-02-29,230,5,20,1,2.17391304347826,
41,2020-03-01,239,5,9,0,2.09205020920502,
42,2020-03-02,254,6,15,1,2.36220472440945,
43,2020-03-03,268,6,14,0,2.23880597014925,
44,2020-03-04,284,6,16,0,2.11267605633803,
45,2020-03-05,317,6,33,0,1.89274447949527,
46,2020-03-06,349,6,32,0,1.71919770773639,
47,2020-03-07,408,6,59,0,1.47058823529412,
