japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji
JP-01,HOKKAIDO,2021-11-17,,,,,,,,,,,,,60982,1472,127,59356,2021-12-14,,,,,北海道
JP-01,HOKKAIDO,2021-11-18,,,,,,,,,,,,,61002,1472,154,59363,2021-12-14,,,0,20,北海道
JP-01,HOKKAIDO,2021-11-19,,,,,,,,,,,,,61019,1472,167,59373,2021-12-14,,,0,17,北海道
JP-01,HOKKAIDO,2021-11-20,,,,,,,,,,,,,61031,1472,174,59382,2021-12-14,,,0,12,北海道
JP-01,HOKKAIDO,2021-11-21,,,,,,,,,,,,,61056,1472,177,59398,2021-12-14,,,0,25,北海道
JP-01,HOKKAIDO,2021-11-22,,,,,,,,,,,,,61062,1472,186,59404,2021-12-14,,,0,6,北海道
JP-01,HOKKAIDO,2021-11-23,,,,,,,,,,,,,61076,1472,178,59426,2021-12-14,,,0,14,北海道
JP-01,HOKKAIDO,2021-11-24,,,,,,,,,,,,,61086,1472,174,59440,2021-12-14,,,0,10,北海道
JP-01,HOKKAIDO,2021-11-25,,,,,,,,,,,,,61098,1472,173,59453,2021-12-14,,,0,12,北海道
JP-01,HOKKAIDO,2021-11-26,,,,,,,,,,,,,61116,1472,172,59470,2021-12-14,,,0,18,北海道
JP-01,HOKKAIDO,2021-11-27,,,,,,,,,,,,,61127,1472,174,59481,2021-12-14,,,0,11,北海道
JP-01,HOKKAIDO,2021-11-28,,,,,,,,,,,,,61135,1472,169,59494,2021-12-14,,,0,8,北海道
JP-01,HOKKAIDO,2021-11-29,,,,,,,,,,,,,61141,1472,161,59508,2021-12-14,,,0,6,北海道
JP-01,HOKKAIDO,2021-11-30,,,,,,,,,,,,,61149,1472,157,59520,2021-12-14,,,0,8,北海道
JP-01,HOKKAIDO,2021-12-01,,,,,,,,,,,,,61153,1472,151,59530,2021-12-14,,,0,4,北海道
JP-01,HOKKAIDO,2021-12-02,,,,,,,,,,,,,61157,1472,124,59561,2021-12-14,,,0,4,北海道
JP-01,HOKKAIDO,2021-12-03,,,,,,,,,,,,,61160,1472,115,59573,2021-12-14,,,0,3,北海道
JP-01,HOKKAIDO,2021-12-04,,,,,,,,,,,,,61170,1472,111,59587,2021-12-14,,,0,10,北海道
JP-01,HOKKAIDO,2021-12-05,,,,,,,,,,,,,61175,1472,101,59602,2021-12-14,,,0,5,北海道
JP-01,HOKKAIDO,2021-12-06,,,,,,,,,,,,,61177,1472,96,59609,2021-12-14,,,0,2,北海道
JP-01,HOKKAIDO,2021-12-07,,,,,,,,,,,,,61179,1472,90,59617,2021-12-14,,,0,2,北海道
JP-01,HOKKAIDO,2021-12-08,,,,,,,,,,,,,61181,1473,83,59625,2021-12-14,,,1,2,北海道
JP-01,HOKKAIDO,2021-12-09,,,,,,,,,,,,,61188,1473,79,59636,2021-12-14,,,0,7,北海道
JP-01,HOKKAIDO,2021-12-10,,,,,,,,,,,,,61191,1473,76,59642,2021-12-14,,,0,3,北海道
