target_prediction_date,forecast_date,japan_prefecture_code,prefecture_name,prefecture_name_kanji,forecast_flag,cumulative_confirmed,cumulative_deaths,new_confirmed,new_deaths,hospitalized_patients,recovered
2021-01-10,2021-02-03,JP-34,HIROSHIMA,広島県,false,4012,56,60,1,762,2986
2021-01-11,2021-02-03,JP-34,HIROSHIMA,広島県,false,4068,57,56,1,726,3016
2021-01-12,2021-02-03,JP-34,HIROSHIMA,広島県,false,4127,58,59,1,687,3152
2021-01-13,2021-02-03,JP-34,HIROSHIMA,広島県,false,4162,62,35,4,649,3236
2021-01-14,2021-02-03,JP-34,HIROSHIMA,広島県,false,4220,62,58,0,599,3369
2021-01-15,2021-02-03,JP-34,HIROSHIMA,広島県,false,4270,66,50,4,593,3485
2021-01-16,2021-02-03,JP-34,HIROSHIMA,広島県,false,4304,67,34,1,568,3579
2021-01-17,2021-02-03,JP-34,HIROSHIMA,広島県,false,4358,70,54,3,543,3645
2021-01-18,2021-02-03,JP-34,HIROSHIMA,広島県,false,4396,70,38,0,527,3708
2021-01-19,2021-02-03,JP-34,HIROSHIMA,広島県,false,4424,72,28,2,488,3787
2021-01-20,2021-02-03,JP-34,HIROSHIMA,広島県,false,4448,73,24,1,430,3863
2021-01-21,2021-02-03,JP-34,HIROSHIMA,広島県,false,4505,77,57,4,450,3906
2021-01-22,2021-02-03,JP-34,HIROSHIMA,広島県,false,4533,78,28,1,439,3945
2021-01-23,2021-02-03,JP-34,HIROSHIMA,広島県,false,4578,81,45,3,406,4009
2021-01-24,2021-02-03,JP-34,HIROSHIMA,広島県,false,4599,85,21,4,379,4067
2021-01-25,2021-02-03,JP-34,HIROSHIMA,広島県,false,4622,87,23,2,351,4119
2021-01-26,2021-02-03,JP-34,HIROSHIMA,広島県,false,4647,88,25,1,343,4159
2021-01-27,2021-02-03,JP-34,HIROSHIMA,広島県,false,4664,89,17,1,300,4237
2021-01-28,2021-02-03,JP-34,HIROSHIMA,広島県,false,4700,91,36,2,304,4257
2021-01-29,2021-02-03,JP-34,HIROSHIMA,広島県,false,4726,91,26,0,315,4286
2021-01-30,2021-02-03,JP-34,HIROSHIMA,広島県,false,4763,92,37,1,313,4324
2021-01-31,2021-02-03,JP-34,HIROSHIMA,広島県,false,4809,92,46,0,,
2021-02-01,2021-02-03,JP-34,HIROSHIMA,広島県,false,4821,94,12,2,,
2021-02-02,2021-02-03,JP-34,HIROSHIMA,広島県,false,4835,94,14,0,,
2021-02-03,2021-02-03,JP-34,HIROSHIMA,広島県,false,4850,94,15,0,,
2021-02-04,2021-02-03,JP-34,HIROSHIMA,広島県,true,,,17.96484375,0.81810760499999446,,
2021-02-05,2021-02-03,JP-34,HIROSHIMA,広島県,true,,,12.3486328125,0.80744934080000519,,
2021-02-06,2021-02-03,JP-34,HIROSHIMA,広島県,true,,,8.1069335936999778,0.808311462399999,,
2021-02-07,2021-02-03,JP-34,HIROSHIMA,広島県,true,,,9.6303710938000222,0.77483367920000035,,
2021-02-08,2021-02-03,JP-34,HIROSHIMA,広島県,true,,,11.6240234375,0.74657440190000557,,
2021-02-09,2021-02-03,JP-34,HIROSHIMA,広島県,true,,,11.935546875,0.72451782219999927,,
2021-02-10,2021-02-03,JP-34,HIROSHIMA,広島県,true,,,11.244140625,0.703933715799991,,
2021-02-11,2021-02-03,JP-34,HIROSHIMA,広島県,true,,,12.44140625,0.682899475100001,,
2021-02-12,2021-02-03,JP-34,HIROSHIMA,広島県,true,,,19.5078125,0.60024261480000973,,
