target_prediction_date,forecast_date,japan_prefecture_code,prefecture_name,prefecture_name_kanji,forecast_flag,cumulative_confirmed,cumulative_deaths,new_confirmed,new_deaths,hospitalized_patients,recovered
2021-01-16,2021-02-10,JP-32,SHIMANE,島根県,false,234,0,1,0,15,219
2021-01-17,2021-02-10,JP-32,SHIMANE,島根県,false,235,0,1,0,14,221
2021-01-18,2021-02-10,JP-32,SHIMANE,島根県,false,235,0,0,0,16,219
2021-01-19,2021-02-10,JP-32,SHIMANE,島根県,false,237,0,2,0,14,223
2021-01-20,2021-02-10,JP-32,SHIMANE,島根県,false,239,0,2,0,15,224
2021-01-21,2021-02-10,JP-32,SHIMANE,島根県,false,242,0,3,0,15,227
2021-01-22,2021-02-10,JP-32,SHIMANE,島根県,false,242,0,0,0,14,228
2021-01-23,2021-02-10,JP-32,SHIMANE,島根県,false,242,0,0,0,12,230
2021-01-24,2021-02-10,JP-32,SHIMANE,島根県,false,242,0,0,0,11,231
2021-01-25,2021-02-10,JP-32,SHIMANE,島根県,false,242,0,0,0,10,232
2021-01-26,2021-02-10,JP-32,SHIMANE,島根県,false,245,0,3,0,8,237
2021-01-27,2021-02-10,JP-32,SHIMANE,島根県,false,250,0,5,0,11,239
2021-01-28,2021-02-10,JP-32,SHIMANE,島根県,false,254,0,4,0,13,241
2021-01-29,2021-02-10,JP-32,SHIMANE,島根県,false,264,0,10,0,16,248
2021-01-30,2021-02-10,JP-32,SHIMANE,島根県,false,265,0,1,0,25,240
2021-01-31,2021-02-10,JP-32,SHIMANE,島根県,false,268,0,3,0,,
2021-02-01,2021-02-10,JP-32,SHIMANE,島根県,false,269,0,1,0,,
2021-02-02,2021-02-10,JP-32,SHIMANE,島根県,false,271,0,2,0,,
2021-02-03,2021-02-10,JP-32,SHIMANE,島根県,false,273,0,2,0,,
2021-02-04,2021-02-10,JP-32,SHIMANE,島根県,false,273,0,0,0,,
2021-02-05,2021-02-10,JP-32,SHIMANE,島根県,false,274,0,1,0,,
2021-02-06,2021-02-10,JP-32,SHIMANE,島根県,false,276,0,2,0,,
2021-02-07,2021-02-10,JP-32,SHIMANE,島根県,false,276,0,0,0,,
2021-02-08,2021-02-10,JP-32,SHIMANE,島根県,false,276,0,0,0,,
2021-02-09,2021-02-10,JP-32,SHIMANE,島根県,false,278,0,2,0,,
2021-02-10,2021-02-10,JP-32,SHIMANE,島根県,false,278,0,0,0,,
2021-02-11,2021-02-10,JP-32,SHIMANE,島根県,true,,,0.26852416989999028,0.0468186252,,
2021-02-12,2021-02-10,JP-32,SHIMANE,島根県,true,,,0.45196533210003054,0.045043874500000004,,
2021-02-13,2021-02-10,JP-32,SHIMANE,島根県,true,,,0.635406494099982,0.0483553261,,
2021-02-14,2021-02-10,JP-32,SHIMANE,島根県,true,,,0.7770996094000111,0.050020143399999994,,
2021-02-15,2021-02-10,JP-32,SHIMANE,島根県,true,,,0.8799133299999653,0.050813362,,
2021-02-16,2021-02-10,JP-32,SHIMANE,島根県,true,,,0.96447753910001666,0.05110825590000001,,
2021-02-17,2021-02-10,JP-32,SHIMANE,島根県,true,,,1.0444030762000125,0.051180869399999995,,
2021-02-18,2021-02-10,JP-32,SHIMANE,島根県,true,,,1.0849914551000097,0.051020085800000003,,
